	Code	Benzoic acid, 4-hydroxy-	Citric acid	Glutaric acid, 2-oxo-	Isocitric acid	Malic acid	Pyruvic acid	Succinic acid	Vanillic acid	Alanine, 3-cyano-	Aspartic acid	Glutamic acid	Glutamine	Glycine	Isoleucine	Leucine	N-Carboxyglycine	Phenylalanine	Serine	Threonine	Valine	Hexadecanoic acid	Octadecanoic acid	A112003	A116014	A143003	A145016	A147011	A155004	A159003	A170001	A174001	A176001	A203003	A211001	A213001	A228001	A237001	A237002	A250001	A311002	Putrescine	Pyridine, 2-hydroxy-	Pyridine, 3-hydroxy-	Glucose-6-phosphate	Glyceric acid-3-phosphate	Glycerol-3-phosphate	Glycerophosphoglycerol	Inositol-phosphate, myo-	Phosphoric acid	Phosphoric acid monomethyl ester	Erythronic acid	Galactaric acid	Gluconic acid	Threonic acid	Arabitol	Erythritol	Glycerol	Hydroquinone	Inositol, myo-	Ribitol	4-Hydroxyphenyl-beta-glucopyranoside	Arabinose	Fructose	Glucose	Kestose, 1-	Raffinose	Sucrose
16028gf_8	GNLS	1.111471213	3.593842691	0.443821188	6.380887395	5.572242101	1.463310685	3.686342837	1.613689726	0.742128342	6.196007001	7.23924528	0.7764861	1.895955716	1.149621553	1.408293487	0.786803522	2.075192346	4.518535857	2.281987928	5.816528627	6.650695823	6.642537007	2.908010462	2.275060543	7.276132115	0.399289656	0.23602748	0.779231356	1.032912409	0.598143354	0.849866274	3.438089535	0.416933278	0.518508091	0.125862753	3.345875928	3.34261435	4.551887459	0.555796974	0.889171072	0.200408621	1.8469899	0.457682684	3.258389441	0.378800247	5.325350219	0.754578299	1.403290115	7.753075866	2.07993171	0.524922177	1.321282157	0.169063834	0.900051526	0.953318299	1.498610483	1.140317372	0.155222511	5.782180855	0.468437516	0.794379493	1.030478829	1.750775026	2.245941012	0.476800755	5.560277173	12.39154233
16028gf_59	GNLS	0.528641963	3.240177619	0.501493558	8.039753639	7.846566993	1.224077342	2.303156505	0.68247564	0.175834537	2.228988489	4.989149807	0.634196881	1.685108371	0.678192356	1.280305242	0.354271005	1.201752066	3.044472884	1.525688824	4.338337469	5.257831871	4.633634278	1.436172674	2.068305152	4.058586604	0.270274843	0.134705697	0.503759784	0.857567719	0.434046208	0.561753187	2.730729707	0.371180425	0.373817192	0.099173756	2.343324944	2.442062631	3.447591676	0.363838808	0.617308367	0.101334535	2.160054526	0.342372128	3.445535854	0.675460687	3.624227762	0.934622851	1.018888508	9.90804232	2.537853591	0.415808813	1.060637189	0.181226948	0.662763416	1.12552748	0.873792849	1.179569265	0.230089794	7.094004339	0.537462476	0.809827368	0.741139813	3.302751775	4.242246427	0.493170199	4.689506255	26.09857567
16032gf_49	GNLS	0.88071626	4.180108657	0.466832352	10.03953149	7.056061622	2.001086861	2.099413012	1.122617887	0.731743869	2.708799257	6.296609436	0.558709205	2.488400962	1.064438867	2.131984823	0.736483155	2.919950799	5.191440851	2.516503812	6.249690477	6.865969272	6.375877425	2.481301106	2.171545817	5.705413444	0.382739584	0.226198518	0.655161188	1.094139086	0.547872454	0.753298911	3.633615119	0.554364713	0.452744124	0.134711446	3.223160884	3.30478992	3.99682909	0.490458353	0.942638308	0.201443831	2.580237656	0.55010042	3.741029882	0.379674838	4.737660981	1.067551793	1.209394195	9.557139097	2.511875385	0.470793591	1.236046578	0.189634304	0.883834525	0.909302442	0.821306245	1.447891952	0.26598379	8.453444082	0.368418096	1.462331136	1.122315997	5.813445763	5.817756584	0.544448023	3.848054446	23.57117577
16034gf_67	GNLS	0.620680332	2.36247271	0.414089183	6.039949805	5.515693064	2.003102793	2.928018454	0.89991743	0.472003577	4.775055541	4.378694403	0.482136779	2.155266456	NA	1.807147317	0.537957009	1.074973825	2.208763347	NA	NA	5.906277224	6.300540092	4.022489364	1.858458367	5.90986087	0.44300615	0.237824988	0.622558752	0.786358048	0.47841838	0.657440976	3.040260675	0.579431218	0.387749092	0.137791151	2.658084812	3.245825563	3.933115442	0.477469874	0.897218602	0.142416802	1.956713972	0.485050216	3.315167623	0.589077467	4.893178327	1.105220481	1.636986135	10.09643473	2.61445381	0.48448586	1.056784001	0.289216682	0.819693157	0.387775101	1.009246973	1.265119482	0.153298382	7.504436159	0.246492751	0.814698464	1.062686933	5.309829811	5.860783817	0.629635686	3.839628438	25.51608805
16039gf_8	GNLS	0.748967489	2.781379617	0.328773534	6.288268587	5.511880004	1.410587824	2.629564584	0.981838242	0.672007454	3.712045546	4.840630691	0.615091648	2.300571776	1.101064381	1.312684876	0.577503458	1.912180089	4.994933994	2.469634941	5.377433017	5.452004438	5.069497876	2.052962985	1.119632357	4.778451304	0.565610715	0.260173525	0.612931319	0.815110549	0.548335049	0.733173868	3.300088631	0.416088743	0.39950695	0.08704984	2.589540613	3.235556976	3.502249355	0.395190683	0.62945886	0.206242099	1.639659948	0.380854935	3.175455178	0.611200987	5.109122588	0.785061093	1.245113963	8.184914214	1.856662564	0.484207755	1.03139094	1.216571963	0.7018046	0.809359239	0.803299407	0.932178769	0.072580487	6.225306491	0.441649017	0.906417569	1.00549076	2.204878633	3.302111483	0.471261026	4.978189917	18.80694148
16028gf_31	GNR12	1.030441657	2.749735051	0.55819764	5.249000304	4.763546877	1.295680995	3.159453402	1.577344641	0.35831254	3.716139799	5.741641411	0.799118677	2.018625729	0.666918316	0.763489907	1.011336482	2.065527954	1.955734124	1.597271972	4.123680359	6.378914823	6.603969438	2.745918615	2.121275944	7.33119491	0.532324881	0.311342985	0.970723133	1.399342169	0.754499382	1.191013709	3.807347456	0.607128043	0.673009999	0.266855829	4.268468131	4.58523628	5.923043142	0.533209301	0.578350142	0.172738123	2.055354914	0.446384366	4.365422465	0.415486578	5.033493633	0.928663206	3.904538752	8.970280114	3.244407224	0.568301787	1.432342569	1.391307444	1.033685315	1.909497567	1.594941959	2.647270705	0.161567107	5.004171236	0.645447595	0.82498492	1.942161305	2.991803569	3.413704978	1.176822248	6.742908837	16.30368971
16032gf_21	GNR12	1.257377866	3.524480841	0.366457148	5.926306114	5.306063525	1.11362011	2.804574346	1.910962496	0.366713484	4.141413793	5.566800522	0.879270459	2.114471756	0.303088428	0.770491791	0.892474186	1.880450544	2.155965136	1.136261416	2.983435482	6.136463376	6.127412188	2.498712463	1.780566882	6.859321392	0.725314677	0.357261214	0.952366094	1.239530357	0.619346979	1.112018758	3.569501348	0.63560567	0.684822288	0.38108694	3.764125563	4.300239335	5.826536304	0.576254291	0.892694428	0.153884176	1.801909618	0.458171969	2.875606035	0.120589059	6.129925518	0.91387449	4.036698958	9.680280287	2.791880073	0.56260822	1.068005741	1.515781739	0.807502983	0.771049327	1.777198219	5.370331665	0.137795706	5.429878254	0.334634192	0.809468541	1.984820364	4.934470099	5.797254121	1.198390176	5.939189017	20.28899026
16034gf_13	GNR12	0.657032683	3.217575133	0.621498647	5.477270866	7.830843195	0.908599532	4.060918689	1.872308843	0.19516945	3.985864112	5.567810546	0.89007834	1.405312293	0.329069461	0.541856124	0.539976103	1.258046813	2.09637602	1.07221322	2.842335611	5.321823467	5.218610649	1.588860695	2.416596506	5.862057867	0.424563481	0.225226182	0.829248944	1.087594613	0.558475516	0.883785593	3.298844182	0.451749037	0.626697878	0.156223189	3.541722244	4.438940486	5.882027634	0.514748122	0.663152624	0.114553866	1.817720884	0.416236079	3.905895887	0.366921222	4.304240522	0.956789505	1.557963714	11.21511063	2.955298375	0.524146949	1.342202919	0.268705434	0.855602301	0.851251734	1.900113862	1.515214733	0.141151947	3.630681811	0.349849176	0.775915434	0.897048431	1.736580109	2.470411749	0.577617761	7.118132126	20.5940298
16037gf_13	GNR12	0.765126195	2.795906353	0.476754913	5.709132426	7.545336207	1.076977893	3.193919154	1.514879346	0.151124334	5.05846835	5.222459708	0.866524219	1.121314452	0.410335478	0.588127137	0.470729286	0.932060971	1.738021552	0.86128135	2.654513178	5.936206559	5.734752055	1.762316543	1.561166944	5.662932104	0.66439554	0.384513816	0.766959826	1.08484698	0.514155155	0.799526856	3.495900361	0.501439904	0.489603801	0.2660993	3.347084229	4.460769416	5.714679773	0.546469695	0.58240686	0.137955714	1.599930327	0.406101478	4.600334086	0.300677777	4.0792244	0.843629573	3.977870939	13.09650082	2.984084682	0.623201216	1.282234614	0.904776565	0.833381923	0.767281011	1.649695891	2.325213166	0.084124411	6.111320565	0.322058333	0.770364765	1.255534281	2.965847539	3.566085914	1.172857293	6.59122866	22.23027912
16037gf_58	GNR12	0.776478588	2.831430662	0.596344739	6.147629061	6.308194717	2.034180289	4.150585493	1.243476733	0.130892041	2.742322012	4.743617043	0.624427872	0.874249359	0.354807751	0.651909753	0.346460809	0.78270075	1.898974252	0.987882957	3.134351707	6.559104415	5.583298732	3.008071153	2.146742309	6.227370613	0.360377718	0.209804157	0.84027732	0.840873759	0.55659414	0.779068746	3.284249091	0.38484069	0.482334819	0.139283086	3.022325748	3.929473287	4.663413846	0.530764012	0.741666229	0.143099554	2.677331653	0.435600331	5.31756259	0.624649361	4.341778457	0.695641494	1.150497026	10.25875075	1.998444996	0.515825117	1.067486001	0.219651689	0.866309838	0.798166149	1.862957546	1.146078803	0.223371477	6.799534	0.344776894	0.574989469	0.853082372	2.21896934	2.556121345	0.482451042	6.894629602	28.16420424
